idiom_en,meaning_en,literal_en,sentence_en
Singing from the same hymnbook,Bound in one tune; unity in harmony,,
On the same page,Bound in one tune; unity in harmony,,
short-sleeved shirt,a shirt with sleeves cut up to the elbow,,
half-sleeve shirt,a shirt with sleeves cut up to the elbow,,
go fifty-fifty,to share or divide something equally between two parties,,
split the bill,to share or divide something equally between two parties,,
go Dutch,to share or divide something equally between two parties,,
Gibberish,"Nonsense talk, unconventional or irrelevant words",,
Nonsense,"Nonsense talk, unconventional or irrelevant words",,
Hot air,"Nonsense talk, unconventional or irrelevant words",,
body language,"behavior, attitude, demeanor",,
vibe,"behavior, attitude, demeanor",,
mannerisms,"behavior, attitude, demeanor",,
good-for-nothing,A worthless and indolent person,,
lazybones,A worthless and indolent person,,
airhead,"half-mad, utter fool",,
dimwit,"half-mad, utter fool",,
half-wit,"half-mad, utter fool",,
Flapdoodle,Worthless or nonsensical things,,
Poppycock,Worthless or nonsensical things,,
Balderdash,"Trivial, worthy of contempt or scorn",,
Small potatoes,"Trivial, worthy of contempt or scorn",,
floundering,"repeatedly sinking and resurfacing in water, struggling as if drowning",,
in deep water,"repeatedly sinking and resurfacing in water, struggling as if drowning",,
going under,"repeatedly sinking and resurfacing in water, struggling as if drowning",,
To be drowning in debt,To be distressed or struggling in a crisis,,
To go under,To be distressed or struggling in a crisis,,
in step,in the same manner; continuously; uniformly,,
to the same beat,in the same manner; continuously; uniformly,,
Cry for bread,Cries of distress for food; famine,,
Howl of hunger,Cries of distress for food; famine,,
Greedy as a wolf,Extremely greedy,,
Insatiably avaricious,Extremely greedy,,
In dire straits,"Destitute without means of sustenance, unfortunate",,
bosom friend,"friend, lover, companion",,
soulmate,"friend, lover, companion",,
confidant,"friend, lover, companion",,
put yourself in someone's shoes,sympathy or compassion,,
feel for someone,sympathy or compassion,,
Big-headed,"The attitude of considering oneself as the chief or supreme; arrogance, egoism; self-reliance, self-esteem",,
Full of oneself,"The attitude of considering oneself as the chief or supreme; arrogance, egoism; self-reliance, self-esteem",,
Having a swelled head,"The attitude of considering oneself as the chief or supreme; arrogance, egoism; self-reliance, self-esteem",,
All talk and no action,"Boastful person, bluffer, deceiver",,
Blowhard,"Boastful person, bluffer, deceiver",,
Full of hot air,"Boastful person, bluffer, deceiver",,
fellow traveler,"fellow traveler, companion on a journey",,
travel companion,"fellow traveler, companion on a journey",,
carte blanche to execute,arbitrary tyranny or unchecked oppression,,
power of life and death over others,arbitrary tyranny or unchecked oppression,,
losing side,The team or side defeated in a game,,
defeated team,The team or side defeated in a game,,
within one's power,authority; power,,
under one's authority,authority; power,,
On the take,Eager to take bribes,,
Palm-greaser,Eager to take bribes,,
Glutton for forbidden fruit,Eager to consume forbidden food,,
Craving illicit pleasures,Eager to consume forbidden food,,
Son of a bitch,"Illegitimate child, bastard, son of a pig – a derogatory insult",,
Bastard,"Illegitimate child, bastard, son of a pig – a derogatory insult",,
commit suicide,suicide,,
end it all,suicide,,
Dirty money,Money earned through dishonest or unlawful means,,
Ill-gotten gains,Money earned through dishonest or unlawful means,,
go halves,Division or sharing according to average or proportion,,
split the difference,Division or sharing according to average or proportion,,
"win some, lose some",victory and defeat,,
a mixed bag of wins and losses,victory and defeat,,
hard liquor,"Alcoholic beverages; beer, whiskey, and similar drinks",,
strong drink,"Alcoholic beverages; beer, whiskey, and similar drinks",,
Rock bottom,Endless misfortune or dire straits,,
not one iota,an extremely small amount; a tiny bit,,
a jot,an extremely small amount; a tiny bit,,
a whit,an extremely small amount; a tiny bit,,
vibes,"conduct, behavior, mannerisms",,
how one carries oneself,"conduct, behavior, mannerisms",,
State of affairs,The surrounding situation; the outline of the current circumstances; the actual state of affairs,,
What's going on,The surrounding situation; the outline of the current circumstances; the actual state of affairs,,
The lay of the land,The surrounding situation; the outline of the current circumstances; the actual state of affairs,,
Call it quits,To give up hope; to cease or stop; to become disheartened,,
Bail out,To become idle and inactive upon sensing potential danger,,
up to now,up to now / till date,,
thus far,up to now / till date,,
to date,up to now / till date,,
Take the reins,To take on responsibility or leadership,,
Step into the driver's seat,To take on responsibility or leadership,,
for the time being,at present; current; recently,,
at the moment,at present; current; recently,,
currently,at present; current; recently,,
Outstanding balance,The outstanding amount in the current account,,
What's left to pay,The outstanding amount in the current account,,
Idle chatter,Insignificant or trivial talk,,
true situation,actual state of affairs,,
much ado about nothing,A situation with more commotion and fuss than actual fighting; a task involving much pomp and show but yielding little or no result,,
all bark and no bite,A situation with more commotion and fuss than actual fighting; a task involving much pomp and show but yielding little or no result,,
in a jiffy,effortlessly; very easily; in a moment,,
in the blink of an eye,effortlessly; very easily; in a moment,,
at the snap of a finger,effortlessly; very easily; in a moment,,
Deaf to reason,Foolish and deaf,,
Clueless and hard of hearing,Foolish and deaf,,
Racing against the clock,The busyness of completing work on time,,
Burning the midnight oil,The busyness of completing work on time,,
To be on pins and needles,To become restless due to anxiety; to fidget anxiously,,
To pace up and down,To become restless due to anxiety; to fidget anxiously,,
To fidget,To become restless due to anxiety; to fidget anxiously,,
The waters have receded,To subside or recede,,
To die down,To subside or recede,,
to lose one's grip,to falter or weaken in power/authority,,
to buckle under pressure,to falter or weaken in power/authority,,
To strike lucky,To make things convenient or to find a way to ease a situation,,
Grinning from ear to ear,A broad smile spreading across the entire face,,
Can't wipe the smile off one's face,A broad smile spreading across the entire face,,
break into a smile,A smile appearing or breaking on the face,,
light up with a smile,A smile appearing or breaking on the face,,
grin and bear it,"a smiling face, often denoting cheerful or brave demeanor even in adversity",,
smile in the face of death,"a smiling face, often denoting cheerful or brave demeanor even in adversity",,
a laughing matter,"a laughing matter, something funny or ridiculous",,
a joke,"a laughing matter, something funny or ridiculous",,
all in one go,all at once; together; collectively,,
in one fell swoop,all at once; together; collectively,,
all together,all at once; together; collectively,,
laughing stock,object of ridicule,,
object of mockery,object of ridicule,,
Woe is me,Expressing despair or disappointment by exclaiming 'I am dead' or 'I'm doomed',,
