"id","idiom_bn","meaning_bn","idiom_en","meaning_en","idiom_hi","meaning_hi","bridge_text","confidence","source_bn","verified"
"109","অদানে অব্রাহ্মণে","সৎ বা সার্থক কাজে নয়; সাধারণত বাজে কাজে অর্থ ও পরিশ্রম ব্যয় সম্পর্কে প্রযোজ্য হয়","Throwing money down the drain', 'Pearls before swine","","घर की मुर्गी दाल बराबर","To undervalue what one already has; a familiar thing is not appreciated.","Not for righteous or meaningful purposes; generally refers to wasting money and effort on futile or worthless endeavors","HIGH","bagdhara","False"
"110","অদিনে অক্ষণে","শুভ বা প্রশস্ত দিন বা সময় নয়; খুবই দুর্দিনে এবং কুক্ষণে","at an inopportune moment', 'in the worst possible time","","घर की मुर्गी दाल बराबर","To undervalue what one already has; a familiar thing is not appreciated.","Not an auspicious or favorable day or time; in a very bad time and inauspicious moment","HIGH","bagdhara","False"
"111","অদৃষ্টের কিল","ভাগ্যবিপর্যয়; ভাগ্যের মার; কপালের ফের; গ্রহের ফের; বিধির বিড়ম্বনা","stroke of bad luck', ""fate's cruel blow"", ""Murphy's law","","नाच न जाने आँगन टेढ़ा","A bad workman blames his tools; to blame your failures on external factors.","reversal of fortune; stroke of bad luck; twist of fate; mockery of destiny","HIGH","bagdhara","False"
"112","অধঃপাতে যাওয়া","উচ্ছন্নে যাওয়া; কুসংসর্গে নষ্ট হওয়া; দুশ্চরিত্র হওয়া","Go to the dogs', 'Go downhill', 'Fall from grace","","दूध का दूध पानी का पानी हो जाना","The truth will surface; justice will be done and the facts will become clear.","To go to ruin; to get corrupted by bad company; to become immoral","HIGH","bagdhara","False"
"113","অধমাধম","অধমেরও অধম; অত্যন্ত নিকৃষ্ট/নীচ","The lowest of the low', 'Scum of the earth', 'Bottom of the barrel","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","The lowest of the low; extremely vile or despicable","HIGH","bagdhara","False"
"114","অধিকগর্জনে অল্পবর্ষণ","বেশি গর্জন বা হুমকির পর অল্প কাজ বা ফলাফল","All bark and no bite', 'Much ado about nothing', 'All thunder and no rain","","ऊंट के मुँह में जीरा","A very small amount for a very large need; too little too late.","Much noise or threats followed by little action or result","HIGH","bagdhara","False"
"115","অধিক সন্ন্যাসীতে গাজন নষ্ট","অবাঞ্ছিত বহুব্যক্তির সমাবেশে মতভেদজনিত কারণে সমস্ত কাজকর্ম পণ্ড","Too many cooks spoil the broth","","एक अनार सौ बीमार","When something scarce is desired by many people; too many claimants for a limited resource.","In the unwanted gathering of too many people, due to differences of opinion, all tasks are ruined","HIGH","bagdhara","False"
"116","অধিবাস","পূজা বিয়ে ইত্যাদির আগে পালনীয় সংস্কারবিশেষ","dumb beast","Monkey-like creatures; animals whose hands and feet resemble human hands; used as a special insult similar to calling someone a donkey, cow, or goat","","To introspect; to consider one's own standing before judging others.","A special preparatory rite performed before worship, marriage, or similar ceremonies","MEDIUM","bagdhara","False"
"117","অধিবিন্না","দ্বিতীয়বার বিবাহিত পুরুষের জীবিত প্রথমাপত্নী","bigamist","A man seeking a second marriage even though his first wife is still alive","जोरू का गुलाम","A man who is completely dominated by his wife.","The living first wife of a man who has married a second time","MEDIUM","bagdhara","False"
"118","অধিবেত্তা","প্রথমস্ত্রী জীবিত থাকা সত্বেও তার বন্ধ্যাদোষহেতু দ্বিতীয়বার বিবাহকারী পুরুষ","bigamist","A man seeking a second marriage even though his first wife is still alive","जोरू का गुलाम","A man who is completely dominated by his wife.","A man who marries a second time even though his first wife is alive, due to her infertility","MEDIUM","bagdhara","False"
"119","অধিমাস","অতিরিক্ত চান্দ্রমাস, যে মাসে দুটি অমাবস্যা পড়ে","intercalary month', 'adhik maas","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","An extra lunar month in which two new moons occur","HIGH","bagdhara","False"
"120","অনন্তনিদ্রা","চিরনিদ্রা; মৃত্যু","eternal sleep', 'the big sleep","","","","Eternal sleep; death","HIGH","bagdhara","False"
"121","অনন্তবালা","হাতে পরার অলঙ্কারবিশেষ","hoop earrings","a special ear ornament shaped like a bangle","","","A special ornament worn on the hand","MEDIUM","bagdhara","False"
"122","অনন্তরূপিণী","নানারূপধারিণী","multifaceted', 'protean","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","One who assumes various or infinite forms","HIGH","bagdhara","False"
"123","অনন্তশয্যা","বিষ্ণুর অনন্তনাগ শয্যা","eternal rest', 'cosmic slumber","","","","Vishnu's bed on the infinite serpent Ananta","HIGH","bagdhara","False"
"124","অনন্তশয়ন","চিরনিদ্রা; মৃত্যু","Eternal sleep', 'Rest in peace', 'The big sleep","","","","Eternal sleep; death","HIGH","bagdhara","False"
"125","অনভ্যাসের ফোঁটা","আচমকা সৌভাগ্যের অস্বস্তি","out of one's element"", 'unaccustomed to luxury","","पाँचों उँगलियाँ घी में होना","To be very prosperous; to enjoy abundant wealth and good fortune.","the discomfort of sudden good fortune","HIGH","bagdhara","False"
