id,idiom_bn,literal_meaning,figurative_meaning_bn,figurative_meaning_en,similar_in_english,similar_in_english_str,example_sentences_bn,source
6139,ধ্বজা উড়ানো,ধ্বজা উড়ানো (flag hoisting or flying),উগ্রভাবে সমর্থন করা,to support vehemently or champion aggressively,"['fly the flag for', 'wave the flag', 'rally around the flag']",fly the flag for; wave the flag; rally around the flag,"['তিনি দলের নীতির ধ্বজা উড়িয়ে প্রচার করছেন।', 'সমাজের অধিকারের জন্য ধ্বজা উড়ানোর প্রয়োজন।']",bagdhara
6140,ধ্বজাধারী,ধ্বজার ধারক (flag bearer),"উপাধি, বংশ, ফোঁটা, তিলক ইত্যাদির গর্বে গর্বিত ব্যক্তি","A person who is arrogant or proud due to their title, lineage, caste mark, tilak, or similar status symbols","['puffed up with pride', 'proud as a peacock']",puffed up with pride; proud as a peacock,"['সে তার বংশের গৌরব নিয়ে ধ্বজাধারী হয়ে বেড়ায়।', 'এই ধ্বজাধারী লোকের সঙ্গে কথা বলা কঠিন।']",bagdhara
6142,ধ্রুব,উত্তর দিগন্তের নির্দেশক তারা (ধ্রুবতারা),"অবিসংবাদিত, খাঁটি, যথার্থ","indisputable, genuine, true","['rock-solid truth', 'absolute certainty', 'gospel truth']",rock-solid truth; absolute certainty; gospel truth,"['এই ঘটনাটি ধ্রুব সত্য।', 'তার কথা ধ্রুব এবং অবিসংবাদিত।']",bagdhara
6145,ধ্রুবতারা,ধ্রুব নক্ষত্র (Pole Star বা North Star),জীবনের আদর্শ; অন্যতম লক্ষ্য,Life's ideal; a primary guiding goal,"['North Star', 'guiding light', 'beacon of hope']",North Star; guiding light; beacon of hope,"['তুমিই আমার জীবনের ধ্রুবতারা, যা আমাকে সঠিক পথ দেখায়।', 'সত্যবাদিতা তার জীবনের ধ্রুবতারা।']",bagdhara
6146,ধ্রুবসত্য,ধ্রুব তারা-সদৃশ অটল সত্য,চরমসত্য,absolute truth,"['gospel truth', 'undeniable fact']",gospel truth; undeniable fact,"['এটি ধ্রুবসত্য যে সততা সবসময় বিজয়ী হয়।', 'তার কথা ধ্রুবসত্য বলে মেনে নেওয়া উচিত।']",bagdhara
6147,নওরোজ,নতুন দিন (পার্সিয়ান উৎস থেকে 'নও' অর্থ নতুন এবং 'রোজ' অর্থ দিন),বছরের প্রথমদিন; উৎসববিশেষ,The first day of the year; a special festival,"[""New Year's Day""]",New Year's Day,"['নওরোজের উপলক্ষে সকলে নতুন বছরের শুভেচ্ছা জানায়।', 'বাংলাদেশে নওরোজ উদযাপন করে পার্সিয়ান সংস্কৃতির স্মৃতি জাগিয়ে তোলে।']",bagdhara
6148,নকড়া-ছকড়া করা,কাপড় বা কিছু জিনিস রুক্ষভাবে ছিঁড়ে ফেলা বা টানাটানি করা (অনুকরণমূলক শব্দ),অবহেলা/তুচ্ছতাচ্ছিল্য/অপমানিত করা,"to treat with neglect, contempt, or humiliation","['to treat like dirt', 'to belittle', 'to rag on someone']",to treat like dirt; to belittle; to rag on someone,"['সে তার কর্মচারীদের নকড়া-ছকড়া করে কাজ করায়।', 'প্রতিবেশীরা তাকে নকড়া-ছকড়া করে কথা বলে।']",bagdhara
6149,নকলনবিশ,নকল (fake) + নবিশ (twenty),বিদ্রুপে অনুকরণ করতে ওস্তাদ,Expert at imitation in a mocking or derogatory sense,"['Copycat', 'Master mimic']",Copycat; Master mimic,"['সে নকলনবিশের মতো সবার কথা অনুকরণ করে।', 'অফিসে নকলনবিশ কেরানীটি সবার স্বাক্ষর কপি করে।']",bagdhara
6150,নকশা,ডিজাইন বা নকশা (যেমন সূচিপত্র বা চিত্রকর্মের নকশা),"তামাশা, ন্যাকামি","fooling around, showing off, or acting silly","['monkey around', 'act the fool', 'put on airs']",monkey around; act the fool; put on airs,"['বেশি নকশা মেরো না, কাজে মন দাও।', 'সে সবসময় নকশাবাজি করে।']",bagdhara
6151,নক্ষত্রপতন,নক্ষত্রের পতন (fall of a star),বিখ্যাত ব্যক্তির মৃত্যু,The death of a famous person,"['A star falls', 'A great light goes out']",A star falls; A great light goes out,"['কবি নজরুলের মৃত্যুতে বাংলা সাহিত্যে নক্ষত্রপতন ঘটল।', 'অভিনেতা উত্তম কুমারের যাত্রা শেষে চলচ্চিত্র জগতে নক্ষত্রপতন হল।']",bagdhara
6152,নখদন্তহীন শার্দূল,নখ ও দন্তহীন বাঘ,ক্ষমতা হারানো প্রবল ব্যক্তিত্ব,A once powerful personality deprived of its strength,"['Toothless tiger', 'Paper tiger']",Toothless tiger; Paper tiger,"['সেই প্রাক্তন শাসক এখন নখদন্তহীন শার্দূলের মতো হয়ে গেছে।', 'কোম্পানিটি অর্থনৈতিক সংকটে পড়ে নখদন্তহীন শার্দূলের দশা হয়েছে।']",bagdhara
6153,নখদর্পণ,নখের দর্পণ (নখে প্রতিফলিত দর্পণ),নিখুঁত পূর্ণ ও স্পষ্ট জ্ঞান,"Perfect, complete, and clear knowledge","[""at one's fingertips"", 'clear as crystal']",at one's fingertips; clear as crystal,"['সমস্ত বিষয়টা আমার নখদর্পণে আছে।', 'এই প্রকল্পের সব খুঁটিনাটি তার নখদর্পণে।']",bagdhara
6154,নগদ,নগদ অর্থ বা প্রস্তুত মুদ্রা,"নগদে, সঙ্গেসঙ্গে প্রদেয় দাম","Cash, immediate payment due","['Cash on the nail', 'Ready money']",Cash on the nail; Ready money,"['তিনি নগদে দাম মিটিয়ে দিলেন।', 'এই দোকানে নগদা-নগদি লেনদেন হয়।']",bagdhara
